id,name,chain,type,seat,location,menu items,rate
11815,KRISPY KRUNCHY CHICKEN - ALVARADO,TRUE,Restaurant,15,0,9,3
11816,CAFE 153,FALSE,Restaurant,5,0,9,3
11817,DUNES RESTAURANT,TRUE,Restaurant,118,1,20,5
11818,THE FOUNDATION CENTER,FALSE,Restaurant,182,1,20,5
11819,ONO HAWAIIAN BBQ,TRUE,Restaurant,35,1,9,3
11820,MUSH BAKERY,TRUE,Bakery,15,0,9,3
11821,REGGIE'S DELI & CAFE,TRUE,Restaurant,1,0,9,3
11822,HOT THAI RESTAURANT,TRUE,Restaurant,19,1,12,4
11823,WABA GRILL,TRUE,Restaurant,49,1,20,5
11824,THANK YOU FOR COMING,FALSE,Restaurant,13,0,9,3
11825,TROPICAL FRUITS & JUICES,FALSE,Restaurant,14,0,9,3
11826,SUBWAY -52105,TRUE,Fast Food,37,1,20,3.5
11827,IHOP,TRUE,Restaurant,158,1,20,5
11828,PANDA EXPRESS #2596,TRUE,Fast Food,22,1,15,3.5
11829,GOLDEN INDIAN GRILL,FALSE,Restaurant,18,1,12,4
11830,LA MONARCA BAKERY,TRUE,Bakery,35,1,9,3
11831,LAXSUL COMPANY,FALSE,Restaurant,45,1,20,5
11832,THE COUNTER SPACE 7C,TRUE,Restaurant,20,1,9,3
11833,KALBIS KOREAN GRILL,FALSE,Restaurant,33,1,15,4.5
11834,TOGO'S,TRUE,Restaurant,28,1,15,4.5
11835,AFC SUSHI AT WALGREENS #1527,FALSE,Restaurant,8,0,9,3
11836,JACKY'S RESTAURANT,TRUE,Restaurant,27,1,15,4.5
11837,CALIFORNIA MEXICAN GRILL,FALSE,Restaurant,13,0,9,3
11838,DOLCINI CAFFEE EXPRESSO,FALSE,Fast Food,10,0,9,2.5
11839,PRIME GRIND COFFEE,FALSE,Cafe,4,0,9,3
11840,ETCHEA,FALSE,Restaurant,4,0,9,3
11841,RALPHS MARKET #206,FALSE,Restaurant,22,1,15,4.5
11842,LOTERIA GRILL SPACE 7C,FALSE,Restaurant,17,1,12,4
11843,HOY'S WOK,FALSE,Restaurant,35,1,9,3
11844,BASE COAT -JUICE Pastry,TRUE,Pastry,2,0,9,3
11845,WAX PAPER,FALSE,Restaurant,2,0,9,3
11846,RENAISSANCE 96TH STREET BISTRO,FALSE,Restaurant,184,1,20,5
11847,KIKKA @ ARCO PLAZA,TRUE,Restaurant,21,1,15,4.5
11848,ROLLING STONE SPACE 7C,FALSE,Restaurant,33,1,15,4.5
11849,J & F ICE CREAM SHOP,FALSE,Restaurant,17,1,12,4
11850,DONUT FACTORY,FALSE,Fast Food,31,1,15,3.5
11851,JOHNNIE'S NEW YORK PIZZA,TRUE,Pizza,24,1,15,4
11852,EAGLE ROCK BREWERY,TRUE,Restaurant,16,1,12,4
11853,DONUT STAR,TRUE,Fast Food,24,1,15,3.5
11854,ROSE GARDEN CAFE,TRUE,Restaurant,66,1,20,5
11855,MRS FIELD'S COOKI #426,FALSE,Restaurant,11,0,9,3
11856,SHIN KANG SEO MYUN OAK,FALSE,Restaurant,16,1,12,4
11857,MCDONALD'S #2084,TRUE,Fast Food,112,1,20,3.5
11858,PLANCHA TACOS,FALSE,Fast Food,40,1,20,3.5
11859,BLD,TRUE,Restaurant,21,1,15,4.5
11860,NOODLE PLUS,FALSE,Restaurant,25,1,15,4.5
11861,VNS CHICKEN,FALSE,Restaurant,29,1,15,4.5
11862,CELESTE,FALSE,Restaurant,11,0,9,3
11863,800  DEGREES NEAPOLITAN PIZZERIA,FALSE,Restaurant,122,1,20,5
11864,CHOCOLATE Pastry,FALSE,Pastry,3,0,9,3
11865,KETTLE GLAZED DONUTS,FALSE,Fast Food,18,1,12,2.5
11866,LOCALI,TRUE,Restaurant,27,1,15,4.5
11867,MS DONUTS,FALSE,Fast Food,28,1,15,3.5
11868,SUBWAY #39685,TRUE,Fast Food,3,0,9,2.5
11869,LEMONADE RESTAURANT,TRUE,Restaurant,45,1,20,5
11870,KOREAN AIR/ SKYTEAM LOUNGE,FALSE,Restaurant,219,1,20,5
11871,LA SIRENA RESTAURANT,TRUE,Restaurant,63,1,20,5
11872,JACK IN THE BOX # 335,TRUE,Restaurant,121,1,20,5
11873,FOOD PICNIC DAY,TRUE,Restaurant,20,1,9,3
11874,BOLT,FALSE,Restaurant,45,1,20,5
11875,JIN RESTAURANT,TRUE,Restaurant,15,0,9,3
11876,CANTINA LOREDO,FALSE,Restaurant,31,1,15,4.5
11877,QANTAS AIRWAYS LOUNGE,FALSE,Restaurant,163,1,20,5
11878,LOS BALCONES DEL PERU,FALSE,Restaurant,33,1,15,4.5
11879,TACOMIENDO,FALSE,Fast Food,1,0,9,2.5
11880,THE SEMI-TROPIC,FALSE,Restaurant,112,1,20,5
11881,SLAPFISH,FALSE,Restaurant,38,1,20,5
11882,CELAYA BAKERY,TRUE,Bakery,16,1,12,3
11883,K-BAKERY,TRUE,Bakery,6,0,9,3
11884,LOS PINITOS NUEVOS BAKERY,TRUE,Bakery,4,0,9,3
11885,JAPAN HOUSE LA 2ND FLOOR,FALSE,Restaurant,28,1,15,4.5
11886,SHAKE SHACK,TRUE,Restaurant,3,0,9,3
11887,JOHNNY ROCKETS,TRUE,Restaurant,40,1,20,5
11888,CIVIL COFFEE,FALSE,Cafe,17,1,12,3
11889,MCDONALD'S # 10129,TRUE,Fast Food,88,1,20,3.5
11890,PastryNEY'S BEANERY,FALSE,Pastry,75,1,20,3
11891,GREENLEAF CHOP SHOP,FALSE,Restaurant,131,1,20,5
11892,ZANKOU CHICKEN,TRUE,Restaurant,40,1,20,5
11893,ADMIRALS CLUB,FALSE,Restaurant,118,1,20,5
11894,JINYA RAMEN EXPRESS,FALSE,Fast Food,6,0,9,2.5
11895,JIM'S BURGERS,TRUE,Fast Food,42,1,20,3.5
11896,AA REGIONAL ADMIRAL'S CLUB,FALSE,Restaurant,32,1,15,4.5
11897,L.A.A.C.-8TH FLOOR SNACK Pastry,FALSE,Pastry,4,0,9,3
11898,DER WIENERSCHNITZEL #20,TRUE,Restaurant,19,1,12,4
11899,STREET LEVEL CAFE,FALSE,Restaurant,24,1,15,4.5
11900,CAFE SOLAR,FALSE,Restaurant,37,1,20,5
11901,DELICIAS BAKERY AND SOME,TRUE,Bakery,5,0,9,3
11902,TUTTI FRUTTI,TRUE,Restaurant,9,0,9,3
11903,MELODY PIZZA,FALSE,Pizza,5,0,9,3
11904,SUBWAY #14183,TRUE,Fast Food,4,0,9,2.5
11905,JACK IN THE BOX # 3348,TRUE,Restaurant,128,1,20,5
11906,AFTERS ICE CREAM,FALSE,Restaurant,14,0,9,3
11907,ANTIGUA CULTURAL COFFEE,FALSE,Cafe,24,1,15,3
11908,TRASTEVERE RESTAURANT,TRUE,Restaurant,224,1,20,5
11909,MARIE'S COFFEE AND DELI,TRUE,Cafe,36,1,20,5
11910,LA PastryBACHA,FALSE,Pastry,12,0,9,3
11911,THE HARVEST Pastry 2,FALSE,Pastry,26,1,15,3
11912,KABAN PERSIAN RESTAURANT,TRUE,Restaurant,6,0,9,3
11913,WESTIN LAKEVIEW BISTRO,FALSE,Restaurant,200,1,20,5
11914,ADMIRALS CLUB,FALSE,Restaurant,205,1,20,5
11915,THE FAT DOG,FALSE,Restaurant,71,1,20,5
11916,ANGELINI ALIMENTARI,TRUE,Restaurant,11,0,9,3
11917,CAFE SOLAR KITCHEN,FALSE,Restaurant,14,0,9,3
11918,CORAL FISH,FALSE,Restaurant,7,0,9,3
11919,YANUSA SUSHI RESTAURANT,TRUE,Restaurant,23,1,15,4.5
11920,JOLLIBEE,FALSE,Restaurant,43,1,20,5
11921,MALIBU FISH GRILL,TRUE,Restaurant,107,1,20,5
11922,THE VEGGIE GRILL,TRUE,Restaurant,134,1,20,5
11923,ASHLAND Pastry EARTH Pastry / PANDA EXPRESS ASHLAND HILL,TRUE,Fast Food,25,1,15,3.5
11924,CARL'S JR,TRUE,Restaurant,37,1,20,5
11925,KIKKA SUSHI,TRUE,Restaurant,1,0,9,3
11926,PIZZA HUT #26158,TRUE,Pizza,16,1,12,3
11927,EL CONDOR,FALSE,Restaurant,107,1,20,5
11928,MICROSOFT THEATER,FALSE,Restaurant,21,1,15,4.5
11929,MILLI'S CAFE,FALSE,Restaurant,8,0,9,3
11930,BEUL,FALSE,Restaurant,33,1,15,4.5
11931,BORDER GRILL,FALSE,Restaurant,73,1,20,5
11932,CLIFFS,FALSE,Restaurant,62,1,20,5
11933,WH POKE Pastry INC.,TRUE,Pastry,20,1,9,3
11934,JAM,FALSE,Restaurant,40,1,20,5
11935,JAMBA JUICE #527,TRUE,Restaurant,21,1,15,4.5
11936,PANDA EXPRESS #1212,TRUE,Fast Food,45,1,20,3.5
11937,MARISCOS EL CAMARON PELADO RESTAURANT,TRUE,Restaurant,40,1,20,5
11938,FRESH AND MEATY BURGERS,FALSE,Fast Food,24,1,15,3.5
11939,HAYATO,FALSE,Restaurant,2,0,9,3
11940,INK SACK,TRUE,Restaurant,20,1,9,3
11941,MILLIE'S COFFEE SHOP,FALSE,Cafe,22,1,15,3
11942,ANDANTE COFFEE ROASTERS,TRUE,Cafe,4,0,9,4
11943,LA AZTECA TORTILLERIA & RESTAURANT,TRUE,Restaurant,26,1,15,4.5
11944,THE PORTER JUNCTION CAFE,FALSE,Restaurant,28,1,15,4.5
11945,RESTAURANTE EL QUETZALITO,TRUE,Restaurant,17,1,12,4
11946,GUSHI,FALSE,Restaurant,18,1,12,4
11947,CARLS JR #212,FALSE,Restaurant,140,1,20,5
11948,SUBWAY #12484,TRUE,Fast Food,24,1,15,3.5
11949,DONUT FARM,FALSE,Fast Food,8,0,9,2.5
11950,PUPUSERIA CUSCATLAN,FALSE,Restaurant,4,0,9,3
11951,SAWYER,FALSE,Restaurant,6,0,9,3
11952,AHIPOKI BOWL,FALSE,Restaurant,12,0,9,3
11953,COGNOSCENTI COFFEE,TRUE,Cafe,21,1,15,5
11954,HANNAM CHAIN SNACK Pastry,FALSE,Pastry,20,1,9,3
11955,HUNGRY HAROLD'S,FALSE,Restaurant,15,0,9,3
11956,PEKING DUMPLING,FALSE,Restaurant,8,0,9,3
11957,MYUNG GA JJAM BONG,FALSE,Restaurant,23,1,15,4.5
11958,YOSHINOYA #1147,TRUE,Restaurant,35,1,9,3
11959,"THIRTEEN SINCE 2017, INC.",FALSE,Restaurant,79,1,20,5
11960,MARISCOS EL JATO,FALSE,Restaurant,70,1,20,5
11961,THE ORCHARD,FALSE,Restaurant,225,1,20,5
11962,MASHTI ICE CREAM,FALSE,Restaurant,16,1,12,4
11963,PACIFIC DINING CAR,FALSE,Restaurant,149,1,20,5
11964,TACO BELL #3141,TRUE,Fast Food,5,0,9,2.5
11965,LE BALCON BAKERY,TRUE,Bakery,2,0,9,3
11966,FOOD 4 LESS #362,TRUE,Restaurant,21,1,15,4.5
11967,MAYTES JUGOS & RASPADOS,FALSE,Restaurant,13,0,9,3
11968,SUBWAY #1763,TRUE,Fast Food,17,1,12,2.5
11969,IHOP #782,TRUE,Restaurant,133,1,20,5
11970,HONG KONG RESTAURANT,TRUE,Restaurant,44,1,20,5
11971,PIZZA HUT #26178,TRUE,Pizza,7,0,9,3
11972,BAMBO GARDEN,FALSE,Restaurant,19,1,12,4
11973,BASIC,FALSE,Restaurant,118,1,20,5
11974,SONSONATE GRILL,FALSE,Restaurant,100,1,20,5
11975,OPERA HOUSE BAKERY,TRUE,Bakery,23,1,15,3
11976,COCO FRESH TEA AND JUICE,TRUE,Restaurant,23,1,15,4.5
11977,ALVAREZ BAKERY,TRUE,Bakery,3,0,9,3
11978,CEMITAS POBLANAS MI MAGDALENA RESTAURANT #2,TRUE,Restaurant,43,1,20,5
11979,SAN SALVADOR,FALSE,Restaurant,221,1,20,5
11980,THE RAMEN JOINT,FALSE,Restaurant,11,0,9,3
11981,PAPER TIGER,FALSE,Restaurant,43,1,20,5
11982,TOMMY TACO,FALSE,Fast Food,12,0,9,2.5
11983,BIG MAMA'S DONUTS,FALSE,Fast Food,8,0,9,2.5
11984,SUPER A FOODS,TRUE,Restaurant,15,0,9,3
11985,FOOD 4 LESS #777,TRUE,Restaurant,15,0,9,3
11986,BONAVENTURE BREWING CO REST,FALSE,Restaurant,157,1,20,5
11987,TACOSWAY,FALSE,Fast Food,11,0,9,2.5
11988,OCHA RESTAURANT,TRUE,Restaurant,34,1,15,4.5
11989,A PLACE CALLED HOME,FALSE,Restaurant,14,0,9,3
11990,SAN JUAN HUCTZINCO PANADERIA Y PIZZERIA,FALSE,Restaurant,6,0,9,3
11991,POLLO CAMPERO,TRUE,Restaurant,123,1,20,5
11992,HOTEL NORMANDIE,FALSE,Restaurant,45,1,20,5
11993,CLIFTON'S CAFETERIA,FALSE,Restaurant,2,0,9,3
11994,VAN BAKERY,TRUE,Bakery,10,0,9,3
11995,GOURMENT LA BAKERY,TRUE,Bakery,27,1,15,3
11996,KAI RAMEN,FALSE,Restaurant,35,1,9,3
11997,SHARKY'S WOODFIRED MEXICAN GRILL,FALSE,Restaurant,138,1,20,5
11998,REYNAS PUPUSERIA #3,FALSE,Restaurant,22,1,15,4.5
11999,MAHI MAHI,FALSE,Restaurant,49,1,20,5
12000,CURRY HOUSE COCOICHIBANYA,TRUE,Restaurant,44,1,20,5
12001,LOUISIANA FRIED CHICKEN #4050,TRUE,Restaurant,27,1,15,4.5
12002,THE VILLAGE IDIOT,FALSE,Restaurant,116,1,20,5
12003,TOKYO HAMBURG,FALSE,Restaurant,108,1,20,5
12004,AL BASCH CHICKEN,FALSE,Restaurant,23,1,15,4.5
12005,SKAI CAFE,FALSE,Restaurant,71,1,20,5
12006,D ADDICTION,FALSE,Restaurant,122,1,20,5
12007,KITCHEN SOODA,FALSE,Restaurant,85,1,20,5
12008,NAM KOONG,FALSE,Restaurant,44,1,20,5
12009,HAPPY NOODLE,FALSE,Restaurant,41,1,20,5
12010,WESTIN BONAVENTURE LA PRIME,FALSE,Restaurant,155,1,20,5
12011,SKY'S TACOS,FALSE,Fast Food,37,1,20,3.5
12012,HERE'S LOOKING AT YOU,FALSE,Restaurant,14,0,9,3
12013,LA MORENITA LUNCH BOR,FALSE,Restaurant,27,1,15,4.5
12014,SHERATON HOTEL,TRUE,Restaurant,46,1,20,5
12015,LA CABANA,FALSE,Restaurant,48,1,20,5
12016,DIVISION 3,FALSE,Restaurant,21,1,15,4.5
12017,"TEUM RESTAURANT, INC.",TRUE,Restaurant,77,1,20,5
12018,AFC SUSHI @ RALPH'S #39,FALSE,Restaurant,16,1,12,4
12019,PIZZA BELLA,FALSE,Pizza,13,0,9,3
12020,DONA INEZ RESTAURANTE TU COCINA MEXICANA,TRUE,Restaurant,6,0,9,3
12021,MOMOTA RAMEN HOUSE,TRUE,Restaurant,21,1,15,4.5
12022,EL DORADO BOWLERO,FALSE,Restaurant,123,1,20,5
12023,OLYMPIC CAFE HOUSE OF BKFST,FALSE,Restaurant,5,0,9,3
12024,FALAFEL CORNER,FALSE,Restaurant,29,1,15,4.5
12025,DOWNTOWN FATBURGER,TRUE,Fast Food,15,0,9,2.5
12026,DOREEN'S TROPICAL FRUITS,FALSE,Restaurant,4,0,9,3
12027,CAFE SUGAR,FALSE,Restaurant,111,1,20,5
12028,BRASS MONKEY INC,FALSE,Restaurant,143,1,20,5
12029,DELI IN,TRUE,Restaurant,19,1,12,4
12030,DELICIOUS PIZZA SUNSET BLVD.,TRUE,Pizza,14,0,9,3
12031,PIZZA ITALIA,FALSE,Pizza,11,0,9,3
12032,GENTARO SOBA,FALSE,Restaurant,6,0,9,3
12033,JACK IN THE BOX #3393,TRUE,Restaurant,45,1,20,5
12034,PIZZA NEXT DOOR,FALSE,Pizza,3,0,9,3
12035,FRATERNAL ORDER OF EAGLES,FALSE,Restaurant,96,1,20,5
12036,GELSON'S MARKET,FALSE,Restaurant,13,0,9,3
12037,MEDUSA LOUNGE,FALSE,Restaurant,146,1,20,5
12038,TAMARIND OF L.A.,FALSE,Restaurant,11,0,9,3
12039,STELLA PastryRA PIZZERIA,FALSE,Pastry,97,1,20,3
12040,DOLCINI CAFFE ESPRESSO,FALSE,Restaurant,5,0,9,3
12041,SUBWAY,TRUE,Fast Food,14,0,9,2.5
12042,YOOGANE DUMPLING,FALSE,Restaurant,23,1,15,4.5
12043,B TWENTY FOUR,FALSE,Restaurant,15,0,9,3
12044,LATINA,FALSE,Restaurant,6,0,9,3
12045,SPRING ST. Pastry,FALSE,Pastry,129,1,20,3
12046,ARADO JAPANESE RESTAURANT,TRUE,Restaurant,49,1,20,5
12047,COFFEE HOUSE 1,FALSE,Cafe,79,1,20,3
12048,DOOMIE'S HOME COOKIN',FALSE,Restaurant,46,1,20,5
12049,LATIN FUSION,FALSE,Restaurant,77,1,20,5
12050,DANTE'S CAFE,FALSE,Restaurant,8,0,9,3
12051,LUCKY STRIKE HOLLYWOOD,FALSE,Restaurant,1,0,9,3
12052,THAI COCONUT RESTAUARNT,FALSE,Restaurant,46,1,20,5
12053,THE HEIGHTS DELI AND BOTTLE SHOP,TRUE,Restaurant,11,0,9,3
12054,LE CAFE BONJOUR,TRUE,Restaurant,18,1,12,4
12055,EL DORADO EXPRESS,FALSE,Fast Food,5,0,9,2.5
12056,WIENERSCHNITZEL #114,FALSE,Restaurant,27,1,15,4.5
12057,COMMERSON,FALSE,Restaurant,124,1,20,5
12058,HASHTAG COFFEE & TEA,FALSE,Cafe,19,1,12,3
12059,CAMPOS TACOS,TRUE,Fast Food,18,1,12,2.5
12060,THE DOLLY LLAMA,FALSE,Restaurant,16,1,12,4
12061,A CAFE,FALSE,Restaurant,40,1,20,5
12062,XIOMARA ON MELROSE,FALSE,Restaurant,130,1,20,5
12063,SOL-LIP TOFU,FALSE,Restaurant,91,1,20,5
12064,STAR KARAOKE,TRUE,Restaurant,79,1,20,5
12065,VANESSA'S BAKERY,TRUE,Bakery,22,1,15,3
12066,TOMS JUNIOR BURGERS,FALSE,Fast Food,43,1,20,3.5
12067,LA CARRETA,FALSE,Restaurant,14,0,9,3
12068,TACOS CHAPALITA,FALSE,Fast Food,19,1,12,2.5
12069,RALPHS MARKET #39,FALSE,Restaurant,4,0,9,3
12070,SACRED HEART CAFETERIA,FALSE,Restaurant,29,1,15,4.5
12071,WORLD WIDE TACOS,FALSE,Fast Food,1,0,9,2.5
12072,BILLY CAFE,FALSE,Restaurant,26,1,15,4.5
12073,MINI SNACK,FALSE,Restaurant,20,1,9,3
12074,THE OINKSTER,TRUE,Restaurant,37,1,20,5
12075,PIZZA STUDIO,TRUE,Pizza,12,0,9,3
12076,WAYPOINT KITCHEN,FALSE,Restaurant,118,1,20,5
12077,CASITA TACO AL CARBON  #3,FALSE,Fast Food,29,1,15,3.5
12078,OB BEAR RESTAURANT,TRUE,Restaurant,109,1,20,5
12079,ONDAL 2,FALSE,Restaurant,109,1,20,5
12080,CAFE DELI E PARK CENTRAL BLD,TRUE,Restaurant,13,0,9,3
12081,QWENCH 9TH AND FLOWER,FALSE,Restaurant,15,0,9,3
12082,ROCK N FISH,TRUE,Restaurant,182,1,20,5
12083,DK DONERKING,FALSE,Restaurant,48,1,20,5
12084,SIMPLY SALAD,TRUE,Restaurant,44,1,20,5
12085,WASABI JAPANESE NOODLE HOUSE,FALSE,Restaurant,44,1,20,5
12086,MALI HOM,FALSE,Restaurant,85,1,20,5
12087,IL BAMBINO RESTAURANT,TRUE,Restaurant,18,1,12,4
12088,CAPTAIN LEE'S SEAFOOD,TRUE,Restaurant,10,0,9,3
12089,DR .SEBI'S  CELLFOOD,TRUE,Restaurant,23,1,15,4.5
12090,SUBWAY #23131,TRUE,Fast Food,24,1,15,3.5
12091,RUSTY MULLET,FALSE,Restaurant,46,1,20,5
12092,FRENCH BISTRO,FALSE,Restaurant,24,1,15,4.5
12093,HAPPY NOODLE CO,FALSE,Restaurant,3,0,9,3
12094,TREJO'S TACOS,TRUE,Fast Food,81,1,20,3.5
12095,THE VEGGIE GRILL,TRUE,Restaurant,69,1,20,5
12096,SALATA ON FLOWER,TRUE,Restaurant,39,1,20,5
12097,KENTUCKY FRIED CHICKEN,TRUE,Fast Food,25,1,15,3.5
12098,PastryISTA SOCIETY,TRUE,Pastry,12,0,9,3
12099,PAYLESS FOODS MKT,TRUE,Restaurant,5,0,9,3
12100,PRONTO CAFFE & TEA,FALSE,Restaurant,41,1,20,5
12101,CORAL REEF RESTAURANT,TRUE,Restaurant,117,1,20,5
12102,DELICIOUS TOGETHER,TRUE,Restaurant,13,0,9,3
12103,THAI FANTASY,FALSE,Restaurant,28,1,15,4.5
12104,VILLAGE TAVERN,FALSE,Restaurant,100,1,20,5
12105,EL POLLO LOCO #5322,TRUE,Restaurant,48,1,20,5
12106,BLACK MAGIC COFFEE,FALSE,Cafe,5,0,9,3
12107,CATHEDRAL HIGH SCH CAFETERIA,FALSE,Restaurant,8,0,9,3
12108,TWO GUYS FRUM ITALY,FALSE,Restaurant,47,1,20,5
12109,PIZZA HUT #25408,TRUE,Pizza,15,0,9,3
12110,BURGER KING # 1417,TRUE,Fast Food,41,1,20,3.5
12111,HUGO'S TACOS,FALSE,Fast Food,12,0,9,2.5
12112,HOOTERS RESTAURANTS,TRUE,Restaurant,167,1,20,5
12113,SAFFRON,TRUE,Restaurant,31,1,15,4.5
12114,NENA RESTAURANT,TRUE,Restaurant,16,1,12,4
12115,VILLANUEVA RESTAURANT & Pastry,TRUE,Pastry,44,1,20,3
12116,SUBWAY SANDWICHES,TRUE,Fast Food,29,1,15,3.5
12117,LMU,FALSE,Restaurant,209,1,20,5
12118,JJ'S SANDWICH Pastry,FALSE,Pastry,26,1,15,3
12119,MINI MERCADITO IN E.L.A.,FALSE,Restaurant,28,1,15,4.5
12120,MR BOBA,TRUE,Restaurant,5,0,9,3
12121,CHUTNEY'S,FALSE,Restaurant,5,0,9,3
12122,RANCHO ZAPOTILLO ( MEAT MARK,FALSE,Restaurant,11,0,9,3
12123,FRIENDS+FAMILY,FALSE,Restaurant,3,0,9,3
12124,MEATLAND BAKERY,TRUE,Bakery,27,1,15,3
12125,THE ORIGINAL RINALDI'S DELI AND CAFE,TRUE,Restaurant,35,1,9,3
12126,J AND P DELI,TRUE,Restaurant,19,1,12,4
12127,FOOD 4 LESS #399,TRUE,Restaurant,9,0,9,3
12128,WAKE & LATE,FALSE,Restaurant,10,0,9,3
12129,LAS CHAMPAS RESTAURANT #12,TRUE,Restaurant,46,1,20,5
12130,HOLLYWOOD BANQUET HALL,FALSE,Restaurant,217,1,20,5
12131,THE CHEESE BOX AT WALLY'S,FALSE,Restaurant,24,1,15,4.5
12132,BERRYLAND INTERNATIONAL INC,FALSE,Restaurant,17,1,12,4
12133,ASTRO BURGERS,FALSE,Fast Food,33,1,15,3.5
12134,CATALINA'S Pastry & GRILL,FALSE,Restaurant,185,1,20,5
12135,WABA GRILL,TRUE,Restaurant,111,1,20,5
12136,WOOD HANDCRAFTED PIZZA,FALSE,Pizza,47,1,20,4
12137,SEEMA'S BURGERIM,TRUE,Fast Food,28,1,15,3.5
12138,SAENG SAENG GIMBAP & SNACK,FALSE,Restaurant,12,0,9,3
12139,U PICK CAFE,FALSE,Restaurant,25,1,15,4.5
12140,CAFE BLEU,FALSE,Restaurant,124,1,20,5
12141,FARMER BOYS HOLLYWOOD,FALSE,Restaurant,135,1,20,5
12142,BROOKLYN WATER BAGEL,FALSE,Restaurant,37,1,20,5
12143,BELWOOD BAKERY,TRUE,Bakery,11,0,9,3
12144,MYUNG DONG KYO JA,FALSE,Restaurant,149,1,20,5
12145,LA CEVICHERIA,FALSE,Restaurant,27,1,15,4.5
12146,L&L HAWAIIAN BBQ,FALSE,Restaurant,19,1,12,4
12147,BOMBAY GRILL INDIAN FOOD,TRUE,Restaurant,43,1,20,5
12148,MANDRAKE,FALSE,Restaurant,41,1,20,5
12149,EIGHT KOREAN BBQ,FALSE,Restaurant,143,1,20,5
12150,LANDMARK THEATRE,FALSE,Restaurant,17,1,12,4
12151,HARD ROCK CAFE HOLLYWOOD,TRUE,Restaurant,164,1,20,5
12152,MCDONALD'S # 18368,TRUE,Restaurant,35,1,9,3
12153,MARCO'S PIZZA,FALSE,Pizza,25,1,15,4
12154,WHICH WICH #403,TRUE,Restaurant,11,0,9,3
12155,FIG & OLIVE MELROSE PL.,FALSE,Restaurant,162,1,20,5
12156,VIVOLI CAFE & TRATTORIA,FALSE,Restaurant,46,1,20,5
12157,KENTUCK FRIED CHICKEN #187,FALSE,Restaurant,42,1,20,5
12158,LE MONACO,FALSE,Restaurant,32,1,15,4.5
12159,FRANK N HANKS,FALSE,Restaurant,14,0,9,3
12160,GAAM,FALSE,Restaurant,113,1,20,5
12161,TRIMANA,TRUE,Restaurant,19,1,12,4
12162,CROWN OF INDIA,FALSE,Restaurant,45,1,20,5
12163,BEARD PAPA'S,FALSE,Restaurant,9,0,9,3
12164,BAJA FRESH,TRUE,Restaurant,129,1,20,5
12165,JAMBA JUICE #1546,TRUE,Restaurant,1,0,9,3
12166,DONUT STAR,TRUE,Fast Food,27,1,15,3.5
12167,ROCK N ROLL SUSHI,TRUE,Restaurant,85,1,20,5
12168,MR. HOLMES BAKEHOUSE,TRUE,Restaurant,29,1,15,4.5
12169,THE POKE SHACK,FALSE,Restaurant,7,0,9,3
12170,VENICE JAPANESE COMMUNITY CT,FALSE,Restaurant,21,1,15,4.5
12171,AY-DO-NO,FALSE,Restaurant,89,1,20,5
12172,SUMMER BUFFALO,FALSE,Restaurant,44,1,20,5
12173,DONG IL JANG,FALSE,Restaurant,151,1,20,5
12174,TRIMANA,TRUE,Restaurant,33,1,15,4.5
12175,JENI'S SPLENDID ICE CREAM,TRUE,Restaurant,5,0,9,3
12176,DENNY'S #6865,FALSE,Restaurant,164,1,20,5
